start,end,title,type,color,metadata,category,isImportant,isParent,row,location_city,location_country,eventId,parentId,place,_customRow,categoryBgColor
2019-05-15,2019-05-15,Graduated College,life,#4CAF50,Bachelor's in Computer Science,academic,false,false,null,Boston,United States,5e403577-3941-4d83-a0ec-5bea066caf62,,null,false,"rgba(76, 175, 80, 0.08)"
2021-09-01,2025-06-30,PhD Program,range,#8E44AD,Doctoral research program,academic,false,true,0,Cambridge,United States,phd-program,,null,true,null
2023-03-15,2023-03-15,Proposal Defense,milestone,#8E44AD,Proposal successfully defended,academic,false,false,1,Cambridge,United States,9e5e14ea-7c59-4419-b78d-e4d288e448b7,phd-program,null,false,null
2025-05-15,2025-05-15,PhD Defense,milestone,#8E44AD,Doctoral defense completed,academic,false,false,1,Cambridge,United States,6bdb162c-2aed-4b30-b7f9-cc8730ef4a76,phd-program,null,false,null
2025-06-30,2025-06-30,Graduation Ceremony,milestone,#8E44AD,Awarded PhD degree,academic,false,false,1,Cambridge,United States,09330932-7618-4305-8583-7c0b162bd31c,phd-program,null,false,null
2019-07-01,2019-07-01,First Job,life,#2196F3,Software Engineer at TechCorp,career,false,false,null,New York,United States,09e35a13-10a7-4d12-a294-c62e2b9438d3,,null,false,"rgba(33, 150, 243, 0.08)"
2020-02-15,2020-02-15,Moved to San Francisco,life,#a293df,Relocated for new opportunity,family,false,false,null,San Francisco,United States,48c37bb6-5c00-4888-bc92-7696ff288b7a,,null,false,"rgba(233, 30, 99, 0.08)"
2021-06-25,2021-06-25,Got Married,life,#E91E63,Wedding ceremony in Napa Valley,family,false,false,null,Napa Valley,United States,83e9d802-eaf2-4f01-9c94-b3a7db0fc171,,null,false,null
2022-03-10,2022-03-10,Bought First House,life,#9C27B0,Home ownership milestone,family,false,false,null,San Francisco,United States,6fe940b3-1421-4ac1-8334-ba91cdf3a3db,,null,false,null
2023-01-15,2023-01-15,Had First Child,life,#FF9800,Welcome baby Emma!,family,false,false,null,San Francisco,United States,1a9e24d3-9bff-4add-83b2-13fe582f66f6,,null,false,null
2021-01-01,2021-08-15,Software Engineer at TechCorp,range,#3F51B5,First major product development project,career,true,true,0,San Francisco,United States,job-techcorp,,null,true,null
2021-01-01,2021-02-28,Initial Research,range,#2196F3,Market research and competitor analysis,career,false,false,1,San Francisco,United States,research-phase,job-techcorp,null,true,null
2021-03-15,2021-03-19,Design Sprint,range,#9C27B0,Product design workshop,career,false,false,1,San Francisco,United States,design-sprint,job-techcorp,null,true,null
2021-04-01,2021-06-30,MVP Development,range,#4CAF50,Building minimum viable product,career,false,false,1,San Francisco,United States,mvp-dev,job-techcorp,null,true,null
2021-07-01,2021-08-15,Alpha Testing,range,#FF9800,Internal testing phase,career,false,false,1,San Francisco,United States,alpha-testing,job-techcorp,null,true,null
2021-09-01,2021-09-01,Beta Launch,milestone,#E91E63,Public beta release,career,false,false,0,San Francisco,United States,e25a21ed-048d-4773-95e0-687e8fc1da63,,null,false,null
